Top queries,Impressions,Clicks,CTR,Position,city,service,opp_score,priority,target_url
toilet flushing service san leandro,5458,0,0%,7.99,san leandro,toilet,709,P0,/toilet-repair-san-leandro/
plumbing repair oakland,1932,0,0%,9.81,oakland,,251,P0,/plumber-oakland-ca/
plumbing services,1633,1,0.06%,7.32,,,212,P0,/
plumber,4554,2,0.04%,11.03,,,204,P0,/
plumbing oakland,4266,2,0.05%,14.32,oakland,,191,P0,/plumber-oakland-ca/
plumbing company oakland,4073,2,0.05%,18.92,oakland,,183,P0,/plumber-oakland-ca/
local plumbers,3846,1,0.03%,17.12,,,173,P0,/
plumber near me,3529,5,0.14%,15.77,,,158,P0,/
plumbing oakland ca,1211,1,0.08%,7.09,oakland,,157,P0,/plumber-oakland-ca/
plumbers oakland,3408,14,0.41%,12.74,oakland,,153,P0,/plumber-oakland-ca/
oakland plumber,3384,2,0.06%,13.04,oakland,,152,P0,/plumber-oakland-ca/
z plumbing,1172,4,0.34%,9.85,,,152,P0,/
water line repair oakland,1115,0,0%,8.64,oakland,,144,P0,/plumber-oakland-ca/
plumbing company,1375,1,0.07%,5.11,,,137,P0,/
plumber oakland,7208,4,0.06%,23.91,oakland,,136,P0,/plumber-oakland-ca/
plumber oakland ca,2981,3,0.1%,13.4,oakland,,134,P0,/plumber-oakland-ca/
local plumber,1022,0,0%,6.46,,,132,P0,/
plumber in oakland ca,1008,1,0.1%,9.98,oakland,,131,P0,/plumber-oakland-ca/
plumber san leandro,2889,0,0%,16.62,san leandro,,130,P0,/plumber-san-leandro-ca/
oakland plumbers,2626,3,0.11%,12.8,oakland,,118,P0,/plumber-oakland-ca/
plumbing company in oakland,902,0,0%,8.78,oakland,,117,P0,/plumber-oakland-ca/
plumbing-in-oakland-california.savvvymoney.com,883,0,0%,8.62,oakland,,114,P0,/plumber-oakland-ca/
plumbing contractor oakland,859,0,0%,6.71,oakland,,111,P0,/plumber-oakland-ca/
plumbing,842,2,0.24%,8.76,,,109,P0,/
plumbing services oakland,2275,0,0%,14.7,oakland,,102,P0,/plumber-oakland-ca/
plumbing repair,753,0,0%,6.05,,,97,P1,/
oakland plumbing company,724,0,0%,9.31,oakland,,94,P1,/plumber-oakland-ca/
plumbing san leandro,1907,1,0.05%,12.05,san leandro,,85,P1,/plumber-san-leandro-ca/
water heater repair oakland,4339,0,0%,25.49,oakland,water-heater,82,P1,/water-heater-oakland/
plumbers,618,4,0.65%,7.95,,,80,P1,/
plumbing in oakland,565,3,0.53%,6.55,oakland,,73,P1,/plumber-oakland-ca/
